country_code,year,records_count,institutions_count,institutions_with_student_data,institutions_with_funding_ppp_data,institutions_with_funding_eur_data,median_students_per_institution,median_funding_per_student_ppp,median_funding_per_student_eur,student_data_coverage,funding_ppp_data_coverage
DE,2022,399,399,399,396,396,3011.0,9316.540758867446,10389.619923473798,1.0,0.9924812030075187
DE,2023,400,400,400,397,397,2964.0,9948.16071952779,11165.517146776407,1.0,0.9925
DK,2014,33,33,0,0,0,,,,0.0,0.0
DK,2015,33,33,31,0,0,5400.0,,,0.9393939393939394,0.0
DK,2016,33,33,31,0,0,5310.0,,,0.9393939393939394,0.0
DK,2017,43,43,40,37,37,1724.5,8921.378230640337,11998.393796543982,0.9302325581395349,0.8604651162790697
DK,2018,41,41,40,38,38,1777.0,9939.119126201304,13305.1802722315,0.975609756097561,0.926829268292683
DK,2019,41,41,40,38,38,1757.0,10158.553202083234,13678.48692032828,0.975609756097561,0.926829268292683
DK,2020,41,41,39,37,37,1908.0,10096.059274816424,13495.037906152893,0.9512195121951219,0.9024390243902439
DK,2021,41,41,40,37,37,1605.0,9962.46792207064,13205.715395708667,0.975609756097561,0.9024390243902439
DK,2022,40,40,38,36,36,1851.0,10805.982098450459,14366.221740521789,0.95,0.9
DK,2023,40,40,38,36,36,1764.5,11269.089639919268,14661.144758203682,0.95,0.9
EE,2014,25,25,25,0,0,700.0,,,1.0,0.0
EE,2015,24,24,24,17,17,775.0,8325.59996067219,6224.601508196722,1.0,0.7083333333333334
EE,2016,22,22,21,14,14,955.0,8615.872012172624,6547.028824609733,0.9545454545454546,0.6363636363636364
EE,2017,20,20,20,14,14,959.5,7564.960318503096,5891.243107875558,1.0,0.7
EE,2018,20,20,20,14,14,979.0,7502.6345492753735,5960.610567728256,1.0,0.7
EE,2019,19,19,19,13,13,1155.0,10209.258327863812,8299.01421139554,1.0,0.6842105263157895
EE,2020,18,18,18,12,12,1150.0,9113.486971390908,7349.936107557054,1.0,0.6666666666666666
EE,2021,18,18,18,12,12,1106.0,9734.623116087969,8150.858342839153,1.0,0.6666666666666666
EE,2022,18,18,18,12,12,1042.5,11120.39490950793,10093.871255411252,1.0,0.6666666666666666
EE,2023,18,18,18,12,12,1067.5,12935.069463038486,11865.804880945874,1.0,0.6666666666666666
ES,2014,81,81,81,0,0,13490.0,,,1.0,0.0
